"Repository","Average Project MI","Total Project SLOC","Total Project Comments","Total Project Comment-to-SLOC Ratio","Total Modules in Project","Total Refactor Msgs","Total Convention Msgs","Repo Commit Count","Repo Contributer Count","Repo Release Count","Repo URL","Repo Stars Count","Repo Watchers Count","Repo Latest Tag","Repo Latest Commit","Repo Created Date","Repo Last Push Date","Repo Languages","Repo Topics","Repo Description"
"mongoengine","30.75","80473","7441","9.24%","24","145","393","3199","257","74","https://github.com/MongoEngine/mongoengine","2553","142","v0.16.3","cf54d6d6f8633678bbf8e65eb3fe998d3902d138","2012-03-05 00:00:00","2018-12-24 00:00:00","[{""loc"": 1201995, ""ratio"": 0.9990142796470356, ""language"": ""Python""}, {""loc"": 1186, ""ratio"": 0.0009857203529643503, ""language"": ""Shell""}]","""[\""mongo\"", \""mongodb\"", \""mongodb-orm\"", \""odm\"", \""orm\"", \""pymongo\"", \""python\""]""","A Python Object-Document-Mapper for working with MongoDB"
"mopidy","59.15","40381","2905","7.19%","100","211","568","7715","104","60","https://github.com/mopidy/mopidy","5564","237","v2.2.1","9a7adc280fdddb66edf5af8179334664f4049f0d","2009-12-23 00:00:00","2018-12-23 00:00:00","[{""loc"": 1251620, ""ratio"": 0.9979715571488258, ""language"": ""Python""}, {""loc"": 805, ""ratio"": 0.0006418618298723292, ""language"": ""HTML""}, {""loc"": 610, ""ratio"": 0.000486379771704498, ""language"": ""CSS""}, {""loc"": 573, ""ratio"": 0.000456878047847012, ""language"": ""Roff""}, {""loc"": 556, ""ratio"": 0.0004433232017503293, ""language"": ""Shell""}]","""[\""mopidy\"", \""music-player\"", \""python\""]""","Mopidy is an extensible music server that plays music from local disk, Spotify, SoundCloud, Google Play Music, and more. You edit the playlist from any phone, tablet, or computer using a range of MPD and web clients."
"networkx","44.66","147166","35320","24.00%","238","568","5380","5642","271","52","https://github.com/networkx/networkx","5014","259","networkx-2.2","626f18ea85ba047189d7ef1af72347dfede02f9f","2010-09-06 00:00:00","2018-12-24 00:00:00","[{""loc"": 4129467, ""ratio"": 0.9974844687564691, ""language"": ""Python""}, {""loc"": 5317, ""ratio"": 0.0012843364338250302, ""language"": ""Shell""}, {""loc"": 3311, ""ratio"": 0.0007997814429931681, ""language"": ""PowerShell""}, {""loc"": 1786, ""ratio"": 0.0004314133667127147, ""language"": ""Batchfile""}]","""[\""complex-networks\"", \""graph-algorithms\"", \""graph-analysis\"", \""graph-generation\"", \""graph-theory\"", \""graph-visualization\"", \""python\""]""","Official NetworkX source code repository."
"nova","64.72","981563","162073","16.51%","849","2593","11874","53102","322","209","https://github.com/openstack/nova","2379","467","ocata-em","8c663dbd25a0dab1c2d903efc7cf7fc3d9d07b00","2010-07-22 00:00:00","2018-12-25 00:00:00","[{""loc"": 22771610, ""ratio"": 0.9798596494398693, ""language"": ""Python""}, {""loc"": 431761, ""ratio"": 0.018578624089460843, ""language"": ""Smarty""}, {""loc"": 32969, ""ratio"": 0.0014186521191247809, ""language"": ""Shell""}, {""loc"": 3325, ""ratio"": 0.00014307435154508466, ""language"": ""PHP""}]","""[\""api-server\"", \""compute-starter-kit\""]""","OpenStack Compute (Nova)"
"numba","62.55","20192","2648","13.11%","24","126","691","12788","107","120","https://github.com/numba/numba","3688","194","v0.1.1","13d86ea2f3588f91dcad4705ee4ff79e69bc5a47","2012-03-08 00:00:00","2018-12-24 00:00:00","[{""loc"": 5866653, ""ratio"": 0.9210040432694987, ""language"": ""Python""}, {""loc"": 327398, ""ratio"": 0.051398110943044924, ""language"": ""C""}, {""loc"": 110326, ""ratio"": 0.017320044679266136, ""language"": ""Jupyter Notebook""}, {""loc"": 48142, ""ratio"": 0.007557797717212899, ""language"": ""C++""}, {""loc"": 6937, ""ratio"": 0.0010890374883533273, ""language"": ""Shell""}, {""loc"": 6610, ""ratio"": 0.0010377018593074087, ""language"": ""Batchfile""}, {""loc"": 3464, ""ratio"": 0.00054381229056594, ""language"": ""HTML""}, {""loc"": 214, ""ratio"": 0.00003359579393219144, ""language"": ""Cuda""}, {""loc"": 101, ""ratio"": 0.000015855958818464187, ""language"": ""GDB""}]","""[]""","NumPy aware dynamic Python compiler using LLVM"
"pandas","42.07","357537","33065","9.24%","160","1197","4320","18495","405","97","https://github.com/pandas-dev/pandas","17495","961","v0.24.0","2eb5a67999552d60f7a2a9e1922549d5417d714f","2010-08-24 00:00:00","2018-12-25 00:00:00","[{""loc"": 14617222, ""ratio"": 0.9342072920619854, ""language"": ""Python""}, {""loc"": 568156, ""ratio"": 0.03631165198344592, ""language"": ""HTML""}, {""loc"": 406251, ""ratio"": 0.025964074884234065, ""language"": ""C""}, {""loc"": 30371, ""ratio"": 0.0019410534824752992, ""language"": ""Shell""}, {""loc"": 17193, ""ratio"": 0.0010988289000756584, ""language"": ""C++""}, {""loc"": 4869, ""ratio"": 0.00031118466320411684, ""language"": ""Batchfile""}, {""loc"": 2040, ""ratio"": 0.00013037927971583453, ""language"": ""Smarty""}, {""loc"": 556, ""ratio"": 0.00003553474486372745, ""language"": ""Makefile""}]","""[\""alignment\"", \""data-analysis\"", \""flexible\"", \""pandas\"", \""python\""]""","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
"paramiko","43.79","97387","13421","13.78%","41","257","1191","3230","106","155","https://github.com/paramiko/paramiko","4913","327","v1.18.1","4300732c8c392cb246fc7b2839e3700732846fff","2009-02-02 00:00:00","2018-12-23 00:00:00","[{""loc"": 905481, ""ratio"": 1.0, ""language"": ""Python""}]","""[]""","The leading native Python SSHv2 protocol library."
"peewee","31.26","44595","2125","4.76%","19","163","531","3842","102","146","https://github.com/coleifer/peewee","5924","201","3.8.2","10a15f4531e1190b453d50aa5cba5df200a31d27","2010-10-11 00:00:00","2018-12-20 00:00:00","[{""loc"": 1247778, ""ratio"": 0.9604453934293231, ""language"": ""Python""}, {""loc"": 48237, ""ratio"": 0.03712920442807155, ""language"": ""C""}, {""loc"": 2118, ""ratio"": 0.0016302766544075199, ""language"": ""C++""}, {""loc"": 1033, ""ratio"": 0.0007951254881978131, ""language"": ""Shell""}]","""[\""dank\"", \""gametight\"", \""peewee\"", \""python\"", \""sqlite\""]""","a small, expressive orm -- supports postgresql, mysql and sqlite"
"pelican","35.95","48096","3765","7.82%","17","117","355","3057","335","46","https://github.com/getpelican/pelican","8423","365","4.0.1","24d6efa9fda4ad45649ddf88c1c596193d589bf8","2010-10-16 00:00:00","2018-12-21 00:00:00","[{""loc"": 490564, ""ratio"": 0.9061947556548966, ""language"": ""Python""}, {""loc"": 35101, ""ratio"": 0.06484035134710767, ""language"": ""HTML""}, {""loc"": 15680, ""ratio"": 0.028964892997995734, ""language"": ""CSS""}]","""[\""pelican\"", \""python\"", \""static-site-generator\""]""","Static site generator that supports Markdown and reST syntax. Powered by Python."
"pip","47.52","590140","74472","12.61%","281","1215","74719","6776","385","64","https://github.com/pypa/pip","5068","276","18.1","6af9de97bbd2427f82942e476c590a2db22ea1ff","2011-03-06 00:00:00","2018-12-24 00:00:00","[{""loc"": 1224951, ""ratio"": 0.9958441153014114, ""language"": ""Python""}, {""loc"": 2342, ""ratio"": 0.0019039675203627782, ""language"": ""HTML""}, {""loc"": 2093, ""ratio"": 0.0017015388642695538, ""language"": ""Shell""}, {""loc"": 677, ""ratio"": 0.000550378313956277, ""language"": ""Gherkin""}]","""[\""packaging\"", \""pip\"", \""python\""]""","The PyPA recommended tool for installing Python packages"
